observation_date,PAYEMS_20091002,GDP_20090930
7/1/1963,56795.0,623.9
8/1/1963,56910.0,
9/1/1963,57078.0,
10/1/1963,57284.0,633.5
11/1/1963,57255.0,
12/1/1963,57360.0,
1/1/1964,57487.0,649.6
2/1/1964,57752.0,
3/1/1964,57898.0,
4/1/1964,57923.0,658.9
5/1/1964,58089.0,
6/1/1964,58221.0,
7/1/1964,58412.0,670.5
8/1/1964,58620.0,
9/1/1964,58903.0,
10/1/1964,58794.0,675.6
11/1/1964,59217.0,
12/1/1964,59420.0,
1/1/1965,59583.0,695.7
2/1/1965,59800.0,
3/1/1965,60003.0,
4/1/1965,60258.0,708.1
5/1/1965,60492.0,
6/1/1965,60690.0,
7/1/1965,60963.0,725.2
8/1/1965,61228.0,
9/1/1965,61490.0,
10/1/1965,61718.0,747.5
11/1/1965,61997.0,
12/1/1965,62321.0,
1/1/1966,62528.0,770.8
2/1/1966,62796.0,
3/1/1966,63191.0,
4/1/1966,63436.0,779.9
5/1/1966,63711.0,
6/1/1966,64110.0,
7/1/1966,64301.0,793.1
8/1/1966,64507.0,
9/1/1966,64645.0,
10/1/1966,64854.0,806.9
11/1/1966,65019.0,
12/1/1966,65199.0,
1/1/1967,65407.0,817.8
2/1/1967,65427.0,
3/1/1967,65530.0,
4/1/1967,65467.0,822.3
5/1/1967,65618.0,
6/1/1967,65750.0,
7/1/1967,65887.0,837.0
8/1/1967,66142.0,
9/1/1967,66163.0,
10/1/1967,66225.0,852.7
11/1/1967,66703.0,
12/1/1967,66900.0,
1/1/1968,66805.0,879.8
2/1/1968,67214.0,
3/1/1968,67296.0,
4/1/1968,67555.0,904.1
5/1/1968,67652.0,
6/1/1968,67904.0,
7/1/1968,68126.0,919.3
8/1/1968,68328.0,
9/1/1968,68487.0,
10/1/1968,68720.0,936.2
11/1/1968,68985.0,
12/1/1968,69245.0,
1/1/1969,69438.0,960.9
2/1/1969,69698.0,
3/1/1969,69906.0,
4/1/1969,70072.0,976.1
5/1/1969,70328.0,
6/1/1969,70636.0,
7/1/1969,70730.0,996.3
8/1/1969,71005.0,
9/1/1969,70918.0,
